#;NAME;PSRJ;RAJ;DECJ;P0;P1;DM;DM1;RM;T0;DIST;DIST_DM;R_LUM;R_LUM14;AGE;BSURF;EDOT;EDOTD2;
;;;(hms);(dms);(s);;(cm^-3pc);(cm^-3pc/yr);(radm^-2);(MJD);(kpc);(kpc);(mJykpc^2);(mJykpc^2);(Yr);(G);(ergs/s);(ergs/kpc^2/s);
113;J0209+5759;J0209+5759;02:09:37.3;+57:59:45.3;1.063906;1.39e-14;55.28;*;*;*;1.743;1.743;*;*;1.21e+06;3.89e+12;4.56e+32;1.50e+32;
114;J0210+5845;J0210+5845;02:10:55.4;+58:45:04;1.766208;1.34e-13;76.77;*;*;*;1.952;1.952;*;*;2.09e+05;1.56e+13;9.60e+32;2.52e+32;
115;J0211-8159;J0211-8159;02:11:59.0;-81:59:36.2;1.077333;2.90e-16;24.36;*;54.00;*;1.523;1.523;1.39e+01;6.96e-01;5.89e+07;5.66e+11;9.16e+30;3.95e+30;
116;J0212+5222;J0212+5222;02:12:52.1;+52:22:49.5;0.376386;6.60e-15;38.21;*;-13.68;*;1.558;1.558;9.95e+00;2.18e+00;9.04e+05;1.59e+12;4.89e+33;2.01e+33;
117;J0214+5222;J0214+5222;02:14:55.2;+52:22:40.9;0.024575;2.99e-19;22.04;*;-16.44;56126.6100;1.161;1.161;1.21e+00;*;1.30e+09;2.74e+09;7.95e+32;5.90e+32;
118;J0215+6218;J0215+6218;02:15:56.6;+62:18:33.3;0.548880;6.62e-16;84.00;*;380.90;*;2.004;2.004;5.82e+01;1.49e+01;1.31e+07;6.10e+11;1.58e+32;3.94e+31;
119;J0218+4232;J0218+4232;02:18:06.3;+42:32:17.3;0.002323;7.74e-20;61.25;*;-61.40;*;3.150;2.928;4.66e+02;8.93e+00;4.76e+08;4.29e+08;2.44e+35;2.46e+34;
120;J0220+3626;J0220+3626;02:20:42.1;+36:26:55.7;1.029700;*;40.00;*;-41.05;*;2.240;2.240;*;*;*;*;*;*;
121;J0227+3356;J0227+3356;02:26:57.0;+33:56:27.7;1.240102;2.85e-15;27.00;*;*;*;1.595;1.595;*;*;6.89e+06;1.90e+12;5.90e+31;2.32e+31;
122;J0229+20;J0229+20;02:29:03;+20:58;0.806900;*;27.00;*;*;*;2.089;2.089;*;*;*;*;*;*;
