#;NAME;PSRJ;RAJ;DECJ;P0;P1;DM;DM1;RM;T0;DIST;DIST_DM;R_LUM;R_LUM14;AGE;BSURF;EDOT;EDOTD2;
;;;(hms);(dms);(s);;(cm^-3pc);(cm^-3pc/yr);(radm^-2);(MJD);(kpc);(kpc);(mJykpc^2);(mJykpc^2);(Yr);(G);(ergs/s);(ergs/kpc^2/s);
2777;J1917+0834;J1917+0834;19:17:48.8;+08:34:54.6;2.129665;1.75e-14;29.18;*;*;*;1.231;1.231;6.67e-01;4.70e-01;1.93e+06;6.18e+12;7.15e+31;4.72e+31;
2778;J1917+1046g;J1917+1046g;19:17:55;+10:46;0.087730;*;163.10;*;*;*;4.865;4.865;*;3.31e-01;*;*;*;*;
2779;J1917+1121g;J1917+1121g;19:17:27;+11:21;0.510310;*;303.50;*;*;*;7.078;7.078;*;4.51e-01;*;*;*;*;
2780;J1917+1259g;J1917+1259g;19:17:29;+12:59;0.005630;*;117.00;*;*;*;3.637;3.637;*;4.76e-01;*;*;*;*;
2781;B1915+13;J1917+1353;19:17:39.7;+13:53:57.0;0.194631;7.20e-15;94.54;*;233.00;*;5.882;2.940;1.49e+03;2.35e+02;4.28e+05;1.20e+12;3.85e+34;1.11e+33;
2782;J1917+1411g;J1917+1411g;19:17:26;+14:11;0.446460;*;123.40;*;*;*;3.968;3.968;*;2.05e-01;*;*;*;*;
2783;J1917+17;J1917+17;19:17;+17:24;0.419600;*;40.00;*;*;*;1.713;1.713;*;*;*;*;*;*;
2784;J1917+1737;J1917+1737;19:17:23.9;+17:37:31.6;0.334725;3.24e-16;208.00;*;*;*;5.530;5.530;*;1.44e+00;1.64e+07;3.33e+11;3.41e+32;1.12e+31;
2785;B1915+22;J1917+2224;19:17:44.2;+22:22:48.8;0.425897;2.86e-15;134.75;*;168.00;*;4.965;4.965;7.40e+01;8.87e+00;2.36e+06;1.12e+12;1.46e+33;5.94e+31;
2786;J1918-0642;J1918-0642;19:18:48.0;-06:42:34.9;0.007646;2.57e-20;26.59;*;-58.72;*;1.111;1.027;7.28e+00;7.16e-01;4.72e+09;4.48e+08;2.27e+33;1.84e+33;
2787;J1918-1052;J1918-1052;19:18:48.2;-10:52:46.3;0.798693;8.65e-16;62.73;*;-47.60;*;2.966;2.966;*;*;1.46e+07;8.41e+11;6.70e+31;7.62e+30;
2788;J1918+1311;J1918+1311;19:18:46.2;+13:11:24.5;0.856749;2.26e-15;244.50;*;*;*;6.187;6.187;*;2.07e+00;6.01e+06;1.41e+12;1.42e+32;3.70e+30;
2789;J1918+1340g;J1918+1340g;19:18:54;+13:40;0.232990;*;575.90;*;*;*;11.865;11.865;*;6.19e+00;*;*;*;*;
2790;B1916+14;J1918+1444;19:18:23.6;+14:45:06.0;1.181023;2.12e-13;27.20;*;-41.70;*;1.304;1.304;2.72e+00;1.70e+00;8.81e+04;1.60e+13;5.09e+33;2.99e+33;
2791;J1918+1536g;J1918+1536g;19:18:23;+15:36;0.109950;*;123.70;*;*;*;3.830;3.830;*;1.47e-01;*;*;*;*;
2792;J1918+1540g;J1918+1540g;19:18:19;+15:40;0.004280;*;271.20;*;*;*;6.477;6.477;*;6.71e-01;*;*;*;*;
2793;J1918+1541;J1918+1541;19:18:07.7;+15:41:15.2;0.370883;2.54e-15;11.50;*;-5.00;*;0.727;0.727;4.23e-01;*;2.31e+06;9.83e+11;1.97e+33;3.72e+33;
2794;J1918+1547g;J1918+1547g;19:18:34;+15:47;0.003760;*;64.60;*;*;*;2.185;2.185;*;8.12e-02;*;*;*;*;
2795;B1917+00;J1919+0021;19:19:50.6;+00:21:39.7;1.272260;7.67e-15;90.31;*;120.00;*;5.882;4.100;5.54e+02;2.77e+01;2.63e+06;3.16e+12;1.47e+32;4.25e+30;
2796;J1919+0134;J1919+0134;19:19:43.6;+01:34:56.5;1.603984;5.89e-16;191.90;*;47.00;*;14.371;14.371;*;4.34e+02;4.31e+07;9.84e+11;5.63e+30;2.73e+28;
2797;J1919+1314;J1919+1314;19:19:32.9;+13:14:37.3;0.571400;3.79e-15;613.40;*;*;*;13.026;13.026;*;3.80e+01;2.39e+06;1.49e+12;8.02e+32;4.72e+30;
2798;J1919+1527g;J1919+1527g;19:19:50;+15:27;1.371460;*;697.50;*;*;*;16.926;16.926;*;2.01e+00;*;*;*;*;
2799;J1919+1645;J1919+1645;19:19:09.2;+16:45:22.7;0.562790;2.16e-16;208.00;*;*;*;5.414;5.414;*;4.69e+00;4.13e+07;3.53e+11;4.79e+31;1.63e+30;
2800;J1919+1745;J1919+1745;19:19:43.3;+17:45:03.7;2.081343;1.71e-15;142.30;*;*;*;4.094;4.094;*;3.18e+00;1.93e+07;1.91e+12;7.47e+30;4.45e+29;
2801;J1919+23;J1919+23;19:19:26;+23:52:46;0.004630;*;*;*;*;*;*;*;*;*;*;*;*;*;
2802;J1919+2621;J1919+2621;19:19:41.0;+26:21:29.4;0.651512;5.46e-16;96.50;*;63.40;*;6.099;6.099;*;2.12e+01;1.89e+07;6.03e+11;7.79e+31;2.09e+30;
2803;J1920-0950;J1920-0950;19:20:55.9;-09:50:01.0;1.037824;3.93e-16;93.00;*;*;*;6.186;6.186;*;7.65e+00;4.19e+07;6.46e+11;1.39e+31;3.63e+29;
2804;J1920+1040;J1920+1040;19:20:55.3;+10:40:31;2.215802;6.48e-15;304.00;*;733.00;*;10.151;10.151;*;5.87e+01;5.42e+06;3.83e+12;2.35e+31;2.28e+29;
2805;J1920+1110;J1920+1110;19:20:13.3;+11:10:59;0.509886;1.56e-16;188.40;*;650.00;*;6.319;6.319;*;1.56e+01;5.18e+07;2.85e+11;4.65e+31;1.16e+30;
2806;J1920+1515g;J1920+1515g;19:20:22;+15:15;1.602760;*;655.50;*;*;*;15.739;15.739;*;4.71e+00;*;*;*;*;
2807;B1918+26;J1920+2650;19:20:38.3;+26:50:38.4;0.785522;3.44e-17;27.71;*;26.04;*;1.722;1.722;1.78e+01;*;3.62e+08;1.66e+11;2.80e+30;9.44e+29;
2808;J1921+0137;J1921+0137;19:21:30.3;+01:37:25.5;0.002496;1.94e-20;104.93;*;91.00;*;5.086;5.086;*;2.51e+00;2.04e+09;2.22e+08;4.91e+34;1.90e+33;
2809;J1921-05;J1921-05;19:21:04;-05:23;2.227590;*;80.70;*;*;*;4.077;4.077;*;*;*;*;*;*;
2810;J1921-0510;J1921-0510;19:21:29.4;-05:10:10.8;0.794254;6.02e-16;96.60;*;*;*;5.604;5.604;*;1.26e+01;2.09e+07;7.00e+11;4.75e+31;1.51e+30;
2811;J1921+0812;J1921+0812;19:21:47.7;+08:12:51.8;0.210648;5.36e-15;84.00;*;214.40;*;2.896;2.896;*;5.54e+00;6.22e+05;1.08e+12;2.27e+34;2.70e+33;
2812;J1921+0921;J1921+0921;19:21:53.4;+09:21:30.2;0.562302;9.58e-15;139.50;*;*;*;6.139;6.139;*;2.19e+00;9.30e+05;2.35e+12;2.13e+33;5.64e+31;
2813;J1921+1259g;J1921+1259g;19:21:18;+12:59;0.573160;*;366.30;*;*;*;8.227;8.227;*;1.02e+00;*;*;*;*;
2814;J1921+1340g;J1921+1340g;19:21:30;+13:40;4.602940;*;754.90;*;*;*;25.000;25.000;*;1.94e+01;*;*;*;*;
2815;B1919+14;J1921+1419;19:21:24.1;+14:19:17.1;0.618183;5.60e-15;91.64;*;164.80;*;2.810;2.810;2.53e+01;5.37e+00;1.75e+06;1.88e+12;9.36e+32;1.19e+32;
2816;J1921+1505g;J1921+1505g;19:21:25;+15:05;0.611900;*;519.90;*;*;*;10.631;10.631;*;1.70e+00;*;*;*;*;
2817;J1921+1544;J1921+1544;19:21:46.4;+15:44:17.4;0.143576;9.80e-16;385.00;*;*;*;9.038;9.038;*;1.72e+01;2.32e+06;3.80e+11;1.31e+34;1.60e+32;
2818;J1921+1630;J1921+1630;19:21:00.1;+16:30:55.8;0.936448;2.23e-14;194.40;*;*;*;5.097;5.097;*;1.25e+00;6.64e+05;4.63e+12;1.07e+33;4.13e+31;
2819;J1921+1929;J1921+1929;19:21:23.3;+19:29:22.2;0.002646;3.82e-20;64.76;*;118.00;*;2.434;2.434;*;1.17e+00;1.10e+09;3.22e+08;8.14e+34;1.37e+34;
2820;B1918+19;J1921+1948;19:21:03.7;+19:48:44.7;0.821035;8.96e-16;153.85;*;160.00;*;4.322;4.322;6.35e+02;3.18e+01;1.45e+07;8.68e+11;6.39e+31;3.42e+30;
2821;B1919+20;J1921+2003;19:21:51.5;+20:03:20.8;0.760681;5.00e-17;101.00;*;128.20;*;3.292;3.292;2.49e+01;*;2.41e+08;1.97e+11;4.48e+30;4.14e+29;
2822;B1919+21;J1921+2153;19:21:44.8;+21:53:02.2;1.337302;1.35e-15;12.44;*;-16.99;*;0.300;0.807;5.13e+00;1.69e+00;1.57e+07;1.36e+12;2.23e+31;2.47e+32;
2823;J1921+34;J1921+34;19:21;+34:07;1.444000;*;85.00;*;*;*;8.052;8.052;*;*;*;*;*;*;
2824;J1922+1131;J1922+1131;19:22:50.2;+11:31:58.5;0.562074;2.57e-17;335.00;*;*;*;10.486;10.486;*;1.43e+01;3.47e+08;1.22e+11;5.71e+30;5.20e+28;
2825;J1922+1733;J1922+1733;19:22:53.2;+17:33:23.4;0.236171;1.34e-14;238.00;*;*;*;5.360;5.360;*;3.32e+01;2.80e+05;1.80e+12;4.01e+34;1.40e+33;
2826;B1920+20;J1922+2018;19:22:08.0;+20:17:57.3;1.172763;6.49e-16;203.31;*;301.00;*;5.280;5.280;1.06e+02;*;2.86e+07;8.83e+11;1.59e+31;5.70e+29;
2827;B1920+21;J1922+2110;19:22:53.5;+21:10:41.9;1.077924;8.18e-15;217.09;*;282.00;*;4.000;7.041;4.80e+02;2.24e+01;2.09e+06;3.00e+12;2.58e+32;1.61e+31;
2828;J1922+58;J1922+58;19:22;+58:28;0.529623;*;53.74;*;*;*;5.524;5.524;9.46e+01;*;*;*;*;*;
2829;J1923-0408;J1923-0408;19:23:10.9;-04:08:19.4;1.149269;6.80e-17;35.00;*;*;*;1.236;1.236;*;1.68e-01;2.68e+08;2.83e+11;1.77e+30;1.16e+30;
2830;J1923+1143g;J1923+1143g;19:23:38;+11:43;0.371210;*;260.60;*;*;*;7.783;7.783;*;5.45e-01;*;*;*;*;
2831;J1923+1521g;J1923+1521g;19:23:12;+15:21;1.048760;*;346.00;*;*;*;6.995;6.995;*;7.34e-01;*;*;*;*;
2832;B1921+17;J1923+1706;19:23:07.8;+17:06:09.4;0.547209;4.30e-17;142.50;*;380.00;*;3.975;3.975;2.37e+01;6.45e+00;2.02e+08;1.55e+11;1.04e+31;6.56e+29;
2833;J1923+2022g;J1923+2022g;19:23:56;+20:22;0.037990;*;175.30;*;*;*;4.626;4.626;*;1.71e-01;*;*;*;*;
2834;J1923+2515;J1923+2515;19:23:22.4;+25:15:40.5;0.003788;9.56e-21;18.86;*;12.34;*;1.201;1.201;3.89e+00;2.91e-01;6.28e+09;1.93e+08;6.94e+33;4.81e+33;
2835;J1923+4243;J1923+4243;19:23:15.2;+42:43:18.6;0.595193;2.53e-15;52.99;*;*;*;4.684;4.684;*;*;3.72e+06;1.24e+12;4.74e+32;2.16e+31;
2836;J1924+1343g;J1924+1343g;19:24:20;+13:43;0.005720;*;98.50;*;*;*;3.045;3.045;*;2.97e-01;*;*;*;*;
2837;J1924+1509g;J1924+1509g;19:24:34;+15:09;0.239950;*;296.60;*;*;*;6.358;6.358;*;5.66e-01;*;*;*;*;
2838;J1924+1510g;J1924+1510g;19:24:02;+15:10;0.498630;*;115.60;*;*;*;3.469;3.469;*;1.20e-01;*;*;*;*;
2839;J1924+1628;J1924+1628;19:24:44.0;+16:28:37.6;0.375082;3.21e-16;541.70;*;*;*;10.470;10.470;*;1.21e+01;1.85e+07;3.51e+11;2.40e+32;2.19e+30;
2840;J1924+1631;J1924+1631;19:24:54.8;+16:31:48.8;2.935186;3.64e-13;518.50;*;*;*;10.183;10.183;*;8.92e+00;1.28e+05;3.31e+13;5.69e+32;5.48e+30;
2841;J1924+1639;J1924+1639;19:24:03.1;+16:39:40.7;0.158043;2.56e-15;208.00;*;*;*;5.059;5.059;*;5.30e+00;9.77e+05;6.44e+11;2.56e+34;1.00e+33;
2842;J1924+1713;J1924+1713;19:24:32.5;+17:13:33.0;0.758433;1.13e-16;536.80;*;*;*;10.902;10.902;*;4.28e+00;1.06e+08;2.96e+11;1.02e+31;8.60e+28;
2843;J1924+1917;J1924+1917;19:24:26.2;+19:17:24.4;1.277942;1.99e-16;320.30;*;*;*;8.594;8.594;*;2.88e+00;1.02e+08;5.10e+11;3.76e+30;5.10e+28;
2844;J1924+1923g;J1924+1923g;19:24:20;+19:23;0.689240;*;386.70;*;*;*;9.824;9.824;*;5.31e+00;*;*;*;*;
2845;J1924+1932g;J1924+1932g;19:24:49;+19:32;0.388860;*;280.30;*;*;*;6.612;6.612;*;9.18e-01;*;*;*;*;
2846;J1924+2027g;J1924+2027g;19:24:34;+20:27;0.001950;*;211.70;*;*;*;5.294;5.294;*;2.33e+00;*;*;*;*;
2847;J1924+2037g;J1924+2037g;19:24:34;+20:37;0.684800;*;82.30;*;*;*;2.935;2.935;*;2.58e-02;*;*;*;*;
2848;B1922+20;J1924+2040;19:24:40;+20:40:03;0.237790;2.09e-15;226.60;*;343.30;*;5.951;5.951;1.42e+02;*;1.80e+06;7.13e+11;6.14e+33;1.73e+32;
2849;J1925+1532g;J1925+1532g;19:25:00;+15:32;1.655100;*;145.90;*;*;*;4.202;4.202;*;3.71e-01;*;*;*;*;
2850;J1925-16;J1925-16;19:25:06;-16:01:00;3.885800;*;88.00;*;*;*;7.935;7.935;*;*;*;*;*;*;
2851;J1925+1629g;J1925+1629g;19:25:10;+16:29;0.004110;*;214.10;*;*;*;5.118;5.118;*;2.31e+00;*;*;*;*;
2852;J1925+1636g;J1925+1636g;19:25:48;+16:36;0.049710;*;33.10;*;*;*;1.536;1.536;*;2.60e-02;*;*;*;*;
2853;J1925+1720;J1925+1720;19:25:27.0;+17:20:27.3;0.075659;1.05e-14;222.30;*;445.80;*;5.048;5.048;*;1.78e+00;1.15e+05;9.01e+11;9.54e+35;3.74e+34;
2854;J1925+19;J1925+19;19:25:26;+19:04;1.916353;*;328.00;*;*;*;8.329;8.329;*;*;*;*;*;*;
2855;B1923+04;J1926+0431;19:26:24.4;+04:31:31.5;1.074080;2.46e-15;102.24;*;-39.50;*;4.995;4.995;5.49e+02;*;6.91e+06;1.65e+12;7.84e+31;3.14e+30;
2856;J1926-0652;J1926-0652;19:26:37.0;-06:52:42.7;1.608816;3.91e-16;85.30;*;-54.00;*;5.286;5.286;*;2.82e+01;6.51e+07;8.03e+11;3.71e+30;1.33e+29;
2857;J1926+0737;J1926+0737;19:26:33.7;+07:37:07.2;0.318062;3.75e-16;159.00;*;*;*;8.722;8.722;*;8.37e+00;1.34e+07;3.49e+11;4.60e+32;6.05e+30;
2858;J1926-1314;J1926-1314;19:26:53.8;-13:14:03.8;4.864284;3.64e-14;40.83;*;*;*;1.531;1.531;*;*;2.11e+06;1.35e+13;1.25e+31;5.33e+30;
2859;B1924+14;J1926+1434;19:26:57.2;+14:34:55.3;1.324922;2.19e-16;211.41;*;249.30;*;5.649;5.649;2.87e+02;1.53e+01;9.56e+07;5.46e+11;3.73e+30;1.17e+29;
2860;J1926+1452g;J1926+1452g;19:26:55;+14:52;0.304510;*;298.10;*;*;*;6.481;6.481;*;2.10e-01;*;*;*;*;
2861;J1926+1614;J1926+1614;19:26:50.2;+16:14:18.7;0.308306;3.35e-17;24.02;*;*;*;1.262;1.262;*;1.43e-01;1.46e+08;1.03e+11;4.52e+31;2.84e+31;
2862;J1926+1631g;J1926+1631g;19:26:24;+16:31;0.678390;*;195.10;*;*;*;4.822;4.822;*;1.07e+00;*;*;*;*;
2863;B1924+16;J1926+1648;19:26:45.3;+16:48:32.7;0.579823;1.80e-14;176.88;*;320.00;*;6.000;4.495;2.88e+02;4.68e+01;5.11e+05;3.27e+12;3.64e+33;1.01e+32;
2864;J1926+1857g;J1926+1857g;19:26:59;+18:57;0.278730;*;424.20;*;262.30;*;9.569;9.569;*;2.75e+00;*;*;*;*;
2865;B1924+19;J1926+1928;19:26:22.8;+19:28:11.7;1.346012;1.43e-15;445.00;*;*;*;10.569;10.569;8.94e+01;*;1.49e+07;1.40e+12;2.31e+31;2.07e+29;
2866;J1926+2016;J1926+2016;19:26:18.0;+20:16:01.1;0.299072;3.50e-15;247.00;*;*;*;5.948;5.948;*;4.32e+00;1.35e+06;1.04e+12;5.17e+33;1.46e+32;
2867;J1927+0911;J1927+0911;19:27:25.6;+09:11:05.7;0.290305;6.35e-17;202.70;*;*;*;10.939;10.939;*;1.91e+01;7.24e+07;1.37e+11;1.03e+32;8.57e+29;
2868;J1927+1430g;J1927+1430g;19:27:40;+14:30;0.202880;*;207.20;*;*;*;5.626;5.626;*;4.11e-01;*;*;*;*;
2869;B1925+18;J1927+1852;19:27:10.4;+18:52:08.5;0.482766;1.16e-16;264.50;*;417.00;*;5.443;5.443;1.01e+02;1.31e+01;6.59e+07;2.39e+11;4.07e+31;1.37e+30;
2870;B1925+188;J1927+1856;19:27:24.9;+18:56:36.8;0.298313;2.24e-15;99.00;*;74.40;*;3.100;3.100;2.11e+01;5.29e+00;2.11e+06;8.28e+11;3.34e+33;3.47e+32;
2871;B1925+22;J1927+2234;19:27:08.0;+22:34:57.3;1.431066;7.71e-16;186.50;*;215.70;*;7.222;7.222;3.13e+02;*;2.94e+07;1.06e+12;1.04e+31;1.99e+29;
2872;J1928-0108;J1928-0108;19:28:18.9;-01:08:55.7;2.365714;2.80e-15;125.80;*;-15.00;*;9.696;9.696;*;2.26e+01;1.34e+07;2.60e+12;8.34e+30;8.88e+28;
2873;J1928+1245;J1928+1245;19:28:45.3;+12:45:53.3;0.003022;1.68e-20;179.23;*;60.00;*;6.079;6.079;*;2.96e+00;2.85e+09;2.28e+08;2.40e+34;6.51e+32;
2874;J1928+1443;J1928+1443;19:28:06.7;+14:43:11.3;1.010739;2.10e-16;101.00;*;*;*;3.079;3.079;*;1.61e+00;7.63e+07;4.66e+11;8.03e+30;8.47e+29;
2875;J1928+15;J1928+15;19:28:20;+15:13;0.403000;*;242.00;*;*;*;5.746;5.746;*;*;*;*;*;*;
2876;J1928+1725;J1928+1725;19:28:52;+17:25:29;0.289838;*;135.96;*;*;*;3.725;3.725;*;1.94e+01;*;*;*;*;
2877;J1928+1746;J1928+1746;19:28:42.5;+17:46:29.6;0.068730;1.32e-14;176.68;*;203.20;*;4.337;4.337;*;5.25e+00;8.26e+04;9.64e+11;1.60e+36;8.53e+34;
2878;J1928+1809g;J1928+1809g;19:28:06;+18:09;0.294460;*;431.10;*;*;*;9.328;9.328;*;2.61e+00;*;*;*;*;
2879;J1928+1816g;J1928+1816g;19:28:10;+18:16;0.010540;*;346.30;*;*;*;7.206;7.206;*;1.35e+00;*;*;*;*;
2880;J1928+1839g;J1928+1839g;19:28:38;+18:39;2.260910;*;70.00;*;*;*;2.502;2.502;*;5.01e-02;*;*;*;*;
2881;J1928+1852g;J1928+1852g;19:28:05;+18:52;0.792810;*;291.60;*;*;*;5.834;5.834;*;6.81e-01;*;*;*;*;
2882;J1928+1902g;J1928+1902g;19:28:05;+19:02;0.005800;*;28.90;*;*;*;1.495;1.495;*;1.56e-02;*;*;*;*;
2883;J1928+1915g;J1928+1915g;19:29:00;+19:15;0.974350;*;201.00;*;*;*;4.632;4.632;*;1.07e-01;*;*;*;*;
2884;J1928+1923;J1928+1923;19:28:05.1;+19:23:31.3;0.817330;6.35e-15;476.40;*;*;*;10.583;10.583;*;7.16e+01;2.04e+06;2.31e+12;4.59e+32;4.10e+30;
2885;J1928+28;J1928+28;19:28;+28;1.063000;*;79.20;*;*;*;5.224;5.224;*;*;*;*;*;*;
2886;J1929+00;J1929+00;19:29:28;+00:26;1.166900;*;42.95;*;*;*;1.497;1.497;*;*;*;*;*;*;
2887;J1929+0132;J1929+0132;19:29:42.5;+01:32:46.5;0.006418;8.56e-21;53.46;*;-71.40;58757.4799;1.852;1.852;*;7.10e-01;1.19e+10;2.37e+08;1.28e+33;3.73e+32;
2888;J1929+1357;J1929+1357;19:29:10.6;+13:57:35.9;0.866927;3.66e-15;150.70;*;*;*;4.768;4.768;*;5.00e+01;3.75e+06;1.80e+12;2.22e+32;9.76e+30;
2889;J1929+16;J1929+16;19:29:18;+16:21;0.529681;*;12.00;*;*;*;0.762;0.762;*;*;*;*;*;*;
2890;J1929+1615g;J1929+1615g;19:29:36;+16:15;0.044600;*;308.70;*;*;*;6.109;6.109;*;4.48e-01;*;*;*;*;
2891;J1929+1731g;J1929+1731g;19:29:04;+17:31;3.995400;*;431.10;*;*;*;9.222;9.222;*;1.11e+00;*;*;*;*;
2892;B1926+18;J1929+1844;19:29:16.7;+18:44:59.5;1.220470;2.36e-15;112.00;*;174.00;*;3.324;3.324;1.88e+01;*;8.19e+06;1.72e+12;5.12e+31;4.64e+30;
2893;J1929+19;J1929+19;19:29:32;+19:05;0.339216;*;528.40;*;*;*;11.736;11.736;*;*;*;*;*;*;
2894;J1929+1937g;J1929+1937g;19:29:10;+19:37;0.563730;*;458.10;*;*;*;10.042;10.042;*;1.71e+00;*;*;*;*;
2895;J1929+1955;J1929+1955;19:29:17.5;+19:55:07.9;0.257832;2.56e-15;281.00;*;*;*;6.603;6.603;*;1.84e+01;1.60e+06;8.21e+11;5.89e+33;1.35e+32;
2896;J1929+2121;J1929+2121;19:29:04.2;+21:21:22.6;0.723599;2.14e-15;66.00;*;*;*;2.653;2.653;*;1.62e+00;5.36e+06;1.26e+12;2.23e+32;3.17e+31;
2897;J1929+3817;J1929+3817;19:29:07.0;+38:17:57.5;0.814215;6.10e-16;93.40;*;*;*;9.321;9.321;*;*;2.12e+07;7.13e+11;4.46e+31;5.13e+29;
2898;J1929+62;J1929+62;19:29;+62:16;1.456004;*;67.70;*;*;*;11.972;11.972;2.01e+02;*;*;*;*;*;
2899;J1929+66;J1929+66;19:29;+66;0.806000;*;59.60;*;*;*;7.973;7.973;*;*;*;*;*;*;
2900;B1927+13;J1930+1316;19:30:00.9;+13:16:11.1;0.760032;3.66e-15;207.30;*;-2.30;*;6.339;6.339;2.01e+02;7.23e+00;3.29e+06;1.69e+12;3.29e+32;8.19e+30;
2901;J1930+1357g;J1930+1357g;19:30:12;+13:57;0.323540;*;186.60;*;*;*;5.601;5.601;*;8.78e-01;*;*;*;*;
2902;J1930+1403g;J1930+1403g;19:30:18;+14:03;0.003210;*;150.50;*;*;*;4.740;4.740;*;2.11e+00;*;*;*;*;
2903;J1930+1408;J1930+1408;19:30:18.9;+14:08:55.3;0.425720;1.90e-18;210.87;*;*;*;5.891;5.891;*;1.77e+00;3.55e+09;2.88e+10;9.72e+29;2.80e+28;
2904;J1930+1722;J1930+1722;19:30:30.1;+17:22:53.2;1.609706;8.81e-16;207.00;*;*;*;4.741;4.741;*;2.02e+00;2.90e+07;1.20e+12;8.34e+30;3.71e+29;
2905;J1930+1852;J1930+1852;19:30:30.1;+18:52:14.1;0.136855;7.51e-13;307.30;*;*;*;7.000;6.168;*;2.94e+00;2.89e+03;1.03e+13;1.16e+37;2.36e+35;
2906;J1930-1852;J1930-1852;19:30:29.7;-18:51:46.2;0.185520;1.80e-17;42.85;*;*;56526.6423;2.004;2.004;*;*;1.63e+08;5.85e+10;1.11e+32;2.77e+31;
2907;J1930+2441;J1930+2441;19:30:45.3;+24:41:01.5;0.005767;8.65e-21;69.57;*;90.70;*;3.268;3.268;*;1.10e+00;1.06e+10;2.26e+08;1.78e+33;1.67e+32;
2908;J1931-0144;J1931-0144;19:31:32.0;-01:44:22.5;0.593661;2.93e-17;38.30;*;-50.00;*;1.387;1.387;*;3.77e-01;3.22e+08;1.33e+11;5.52e+30;2.87e+30;
2909;J1931+1439;J1931+1439;19:31:40.4;+14:39:38.7;1.779226;6.33e-15;243.00;*;*;*;6.123;6.123;*;3.00e+00;4.45e+06;3.40e+12;4.44e+31;1.18e+30;
2910;B1929+15;J1931+1536;19:31:55.7;+15:36:57.5;0.314355;5.01e-15;140.00;*;199.00;*;4.011;4.011;1.93e+01;5.79e+00;9.93e+05;1.27e+12;6.37e+33;3.96e+32;
2911;J1931+1817;J1931+1817;19:31:52.7;+18:17:00.7;0.234131;1.07e-13;465.00;*;*;*;9.573;9.573;*;1.37e+01;3.46e+04;5.07e+12;3.30e+35;3.60e+33;
2912;J1931+1952;J1931+1952;19:31:55.8;+19:52:11.5;0.501123;1.01e-16;441.00;*;*;*;9.625;9.625;*;1.17e+01;7.88e+07;2.27e+11;3.16e+31;3.41e+29;
2913;J1931+30;J1931+30;19:31:28;+30:35;0.582126;*;53.00;*;*;*;3.722;3.722;*;*;*;*;*;*;
2914;J1931+42;J1931+42;19:31;+42:30;*;*;50.90;*;*;*;4.234;4.234;*;*;*;*;*;*;
2915;B1929+10;J1932+1059;19:32:14.0;+10:59:33.3;0.226519;1.16e-15;3.18;*;-6.87;*;0.310;0.229;2.91e+01;2.76e+00;3.10e+06;5.18e+11;3.93e+33;4.09e+34;
2916;J1932+1500;J1932+1500;19:32:46.3;+15:00:22.2;1.864332;4.59e-16;90.50;*;*;56634.8980;2.849;2.849;*;1.54e+00;6.44e+07;9.36e+11;2.80e+30;3.44e+29;
2917;J1932+1756;J1932+1756;19:32:07.2;+17:56:17.3;0.041831;4.32e-19;53.19;*;*;57506.6910;2.116;2.116;*;1.57e-01;1.53e+09;4.30e+09;2.33e+32;5.21e+31;
2918;J1932+1916;J1932+1916;19:32:19.7;+19:16:39;0.208215;9.32e-14;*;*;*;*;*;*;*;*;3.54e+04;4.46e+12;4.07e+35;*;
2919;B1929+20;J1932+2020;19:32:08.0;+20:20:46.4;0.268217;4.22e-15;211.15;*;10.00;*;5.000;4.964;7.25e+02;3.00e+01;1.01e+06;1.08e+12;8.63e+33;3.45e+32;
2920;B1930+22;J1932+2220;19:32:22.7;+22:20:51.5;0.144470;5.76e-14;218.90;*;138.90;*;10.900;7.991;9.27e+02;1.43e+02;3.98e+04;2.92e+12;7.54e+35;6.34e+33;
2921;J1932-3655;J1932-3655;19:32:06.1;-36:55:01.7;0.571421;2.86e-16;59.88;*;-8.00;*;6.724;6.724;4.07e+02;3.16e+01;3.16e+07;4.09e+11;6.06e+31;1.34e+30;
2922;J1933+0758;J1933+0758;19:33:19.4;+07:58:07.0;0.437454;2.18e-16;165.02;*;*;*;11.157;11.157;4.23e+01;*;3.18e+07;3.13e+11;1.03e+32;8.27e+29;
2923;B1930+13;J1933+1304;19:33:22.5;+13:04:49.9;0.928324;3.18e-16;177.01;*;-124.80;*;6.084;6.084;7.40e+01;1.55e+01;4.62e+07;5.50e+11;1.57e+31;4.24e+29;
2924;J1933+1726;J1933+1726;19:33:22.9;+17:26:49.6;0.021507;4.90e-20;156.90;*;*;*;4.072;4.072;*;6.63e-01;6.95e+09;1.04e+09;1.94e+32;1.17e+31;
2925;J1933+1923g;J1933+1923g;19:33:58;+19:23;0.371730;*;97.70;*;*;*;3.142;3.142;*;1.58e-01;*;*;*;*;
2926;J1933+2038g;J1933+2038g;19:33:42;+20:38;0.040750;*;302.90;*;*;*;8.474;8.474;*;1.65e+00;*;*;*;*;
2927;B1931+24;J1933+2421;19:33:37.8;+24:36:39.6;0.813690;8.11e-15;106.03;*;114.80;*;4.639;4.639;1.61e+02;*;1.59e+06;2.60e+12;5.94e+32;2.76e+31;
2928;J1933+5335;J1933+5335;19:33:01.1;+53:35:43;2.052574;1.26e-15;33.54;*;*;*;2.515;2.515;*;*;2.58e+07;1.63e+12;5.75e+30;9.09e+29;
